report_id,report_year,facility_id,jurisdiction_code,jurisdiction_facility_id,facility_name,registered_business_name,primary_anzsic_class_code,primary_anzsic_class_name,reduction_type,reduction_technique_id,reduction_technique_name,year_installed,comment_by_facility,air_total_emission_kg
551296,2022/2023,516654,SA,SA0152,YALDARA ESTATE,1847 WINERY (SA) PTY LTD,1214,Wine and Other Alcoholic Beverage Manufacturing,Cleaner Production Activities,21,"Improved maintenance scheduling, record keeping, or procedures",,,10509
551296,2022/2023,516654,SA,SA0152,YALDARA ESTATE,1847 WINERY (SA) PTY LTD,1214,Wine and Other Alcoholic Beverage Manufacturing,Pollution Control Devices,11,Wastewater treatment,2002,wastewater treatment plant updated in 2002,10550
549930,2022/2023,545702,WA,WA0685,3 Oceans Wine Company,3 OCEANS WINE COMPANY PTY LTD,1214,Wine and Other Alcoholic Beverage Manufacturing,Cleaner Production Activities,26,Installation of high-pressure/low-volume cleaning equipment,,high-pressure washer/ steam cleaner used in the winery,1501.9
549930,2022/2023,545702,WA,WA0685,3 Oceans Wine Company,3 OCEANS WINE COMPANY PTY LTD,1214,Wine and Other Alcoholic Beverage Manufacturing,Pollution Control Devices,11,Wastewater treatment,2008,,1515.3
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Pollution Control Devices,9,Activated carbon filter,2019,,375.2
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Cleaner Production Activities,35,Community consultative committee,,,406.07
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Pollution Control Devices,15,Dust monitor,2018,Dust extraction system,116036.32
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Cleaner Production Activities,21,"Improved maintenance scheduling, record keeping, or procedures",,,185266.6667
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Cleaner Production Activities,23,Changed production schedules to minimise equipment/feedstock changeovers,,,24.1069
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Cleaner Production Activities,24,"Modified process, equipment, layout, or piping",,Yes – modifying pack line to improve efficiency,3.17334
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Cleaner Production Activities,25,"Improved procedures for loading, unloading or transfer operations",,,20.8071
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Cleaner Production Activities,26,Installation of high-pressure/low-volume cleaning equipment,,,
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Cleaner Production Activities,27,Installed overflow alarms or automatic shut-off valves,,"On som
",
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Cleaner Production Activities,28,Changed product specifications,,Yes – optimising efficiencies and reducing losses,
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Cleaner Production Activities,29,Installed vapour recovery systems (VRS),,,11.6134
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Cleaner Production Activities,31,Implemented inspection or monitoring program for potential spill or leak sources,,,
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Cleaner Production Activities,33,Use of cleaner raw materials,,,
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Cleaner Production Activities,34,Dust suppression - wind breaks/covered/enclosed stockpiles,,,0.693288
547398,2022/2023,658102,NSW,1538,4 Pines Brewing Brookvale,4 PINES BREWING COMPANY WHOLESALE PTY LTD,1212,Beer Manufacturing,Pollution Control Devices,11,Wastewater treatment,2017,,14911.6541
543918,2022/2023,546228,WA,WA0756,Daniel's Well,A O'MEEHAN AND CO.,143,Beef Cattle Feedlots (Specialised),Cleaner Production Activities,36,Other modifications / practices,,Remove and spread manure annually.,
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,Cleaner Production Activities,35,Community consultative committee,,Stakeholder & Community Liaison Officer employed to improve communications with neighbors.,16.7427
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,Cleaner Production Activities,34,Dust suppression - wind breaks/covered/enclosed stockpiles,,Employed landfill best practices.,0.555311
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,Cleaner Production Activities,32,Dust suppression - water sprays/chemical suppression,,Used during construction and on hot days.,
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,Cleaner Production Activities,31,Implemented inspection or monitoring program for potential spill or leak sources,,Continued landfill monitoring but upgraded the level of monitoring during construction activities.,
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,Cleaner Production Activities,36,Other modifications / practices,,The landfill is almost fully rehabilitated as at November 2020.,
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,Pollution Control Devices,16,Other pollution control equipment,2016,Leachate and gas extraction systems.,
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,Pollution Control Devices,12,Thermal oxidiser,2000,Landfill gas exported under a long term contract to EDL for energy generation in ICEs and/or flaring.,3.20167
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,Pollution Control Devices,11,Wastewater treatment,2016,Leachate treatment.,5.39223
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,Cleaner Production Activities,21,"Improved maintenance scheduling, record keeping, or procedures",,Implemented e-forms.,0.741138
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Cleaner Production Activities,36,Other modifications / practices,,Audited steam traps to ensure higher efficiency.,34.318
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Pollution Control Devices,2,Fabric filter/baghouse,2020,Breather filter assemblies on Silo no1-3 replaced.,0.656569
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Pollution Control Devices,3,Wet scrubber,2004,,10.2618
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Pollution Control Devices,4,Dry scrubber,2021,"Additional ducting installed throughout plant
Further point source ducting installed in 2023",31.9623
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Pollution Control Devices,7,Biofilter,2004,"Additional Biofilter added in 2015. Biofilter Media changed 2023
OCS implemented with monitoring and maintenance schedule
New sprinklers systems installed",0.0217661
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Pollution Control Devices,8,Low NOx burner,2020,New more efficient 10MW boiler installed. Co-fired with Natural Gas and Biogas,16.5504
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Pollution Control Devices,11,Wastewater treatment,2011,"Additional aeration and agitation installed on aerobic ponds in 2023. 
Level monitoring systems in place on ponds to ensure consistent flow rates
Install additional agitation and recirculation in CAL to improve anaerobic performance and biogas generation",9.57336
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Pollution Control Devices,16,Other pollution control equipment,2015,Planted 100 trees to create windbreak to prevent rogue odours from leaving the site. New ducting installed to capture odours.,78.3554
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Cleaner Production Activities,35,Community consultative committee,,Community Engagement business engaged to manage information about business,
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Cleaner Production Activities,34,Dust suppression - wind breaks/covered/enclosed stockpiles,,Use of tree screening for wind breaks.,0.00363768
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Cleaner Production Activities,32,Dust suppression - water sprays/chemical suppression,,"Sprays used at biofilters, biofilter medium replaced 2023.",31.6725
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Cleaner Production Activities,31,Implemented inspection or monitoring program for potential spill or leak sources,,,11.6032
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Cleaner Production Activities,29,Installed vapour recovery systems (VRS),,"New ducting installed on site to capture more vapours, new condensor installed to increase recovery, upgrade to vapour extraction ducting throughout multiple plants.",
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Cleaner Production Activities,27,Installed overflow alarms or automatic shut-off valves,,Installation of new wastewater pump to reduce intermittent flow and produce better quality wastewater.,20371
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Cleaner Production Activities,26,Installation of high-pressure/low-volume cleaning equipment,,Purchase of pressure cleaner to reduce water consumption during truck cleaning. Steam regulating nozzles fitted to hoses to increase efficiency.,387.048
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Cleaner Production Activities,25,"Improved procedures for loading, unloading or transfer operations",,,407.419
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Cleaner Production Activities,21,"Improved maintenance scheduling, record keeping, or procedures",,Increased use of third party audits to help with preventative maintenance. Environmental Management Plan in place. Additional surveys incorporated to ensure environmental compliance. Digitised of preventative maintenance.,
543148,2022/2023,494660,NSW,836,A J Bush and Sons Riverstone,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,1111,Meat Processing,Cleaner Production Activities,24,"Modified process, equipment, layout, or piping",,New ducting installed on site to capture more vapours. Thermal audit performed.,
548306,2022/2023,552936,SA,SA0467,Finniss Park Piggery,A.L GOSS & A.W GOSS & G.J TISS & J.M TISS,192,Pig Farming,Cleaner Production Activities,36,Other modifications / practices,,Local earthmover turns straw bedding waste into compost,
543006,2022/2023,674366,SA,SA0748,AAA Asphalt PTY LTD,AAA ASPHALT PTY LTD,1709,Other Petroleum and Coal Product Manufacturing,Pollution Control Devices,2,Fabric filter/baghouse,2021,,2.6518
549890,2022/2023,513342,QLD,Q080COL001,ABBOT POINT OPERATIONS P/L,ABBOT POINT OPERATIONS P/L,5212,Port and Water Transport Terminal Operations,Cleaner Production Activities,27,Installed overflow alarms or automatic shut-off valves,,Scada monitors oil levels on most equipment and will shutdown if too much oil is lost. Scada alarms are in place for hydraulic brake systems which shut down system if pump starts exceed X number of starts  which reduces oil spills from litres to millilitres for this system.,268.182
549890,2022/2023,513342,QLD,Q080COL001,ABBOT POINT OPERATIONS P/L,ABBOT POINT OPERATIONS P/L,5212,Port and Water Transport Terminal Operations,Cleaner Production Activities,31,Implemented inspection or monitoring program for potential spill or leak sources,,E&C department inspection schedule and other department inspections,22.1154
549890,2022/2023,513342,QLD,Q080COL001,ABBOT POINT OPERATIONS P/L,ABBOT POINT OPERATIONS P/L,5212,Port and Water Transport Terminal Operations,Cleaner Production Activities,32,Dust suppression - water sprays/chemical suppression,,Water sprays used on conveyor and transfer points,168.369
549890,2022/2023,513342,QLD,Q080COL001,ABBOT POINT OPERATIONS P/L,ABBOT POINT OPERATIONS P/L,5212,Port and Water Transport Terminal Operations,Cleaner Production Activities,36,Other modifications / practices,,Variable height stacker,2776.2
549890,2022/2023,513342,QLD,Q080COL001,ABBOT POINT OPERATIONS P/L,ABBOT POINT OPERATIONS P/L,5212,Port and Water Transport Terminal Operations,Pollution Control Devices,11,Wastewater treatment,2009,All sewage waste is treated at the on site Sewage Treatment Plant,1.38478
549890,2022/2023,513342,QLD,Q080COL001,ABBOT POINT OPERATIONS P/L,ABBOT POINT OPERATIONS P/L,5212,Port and Water Transport Terminal Operations,Pollution Control Devices,15,Dust monitor,2016,There are 8 x depositional dust gauges on site and 4 x PM10 E-Samplers and 1 BAM (PM10),7.14706
549890,2022/2023,513342,QLD,Q080COL001,ABBOT POINT OPERATIONS P/L,ABBOT POINT OPERATIONS P/L,5212,Port and Water Transport Terminal Operations,Cleaner Production Activities,21,"Improved maintenance scheduling, record keeping, or procedures",,"SAP, CMO, ACONEX",5.83046
550924,2022/2023,686658,WA,WA1723,Abra Base Metals Project,ABRA MINING PTY LIMITED,807,Silver-Lead-Zinc Ore Mining,Cleaner Production Activities,26,Installation of high-pressure/low-volume cleaning equipment,,Wheel washdown unit,60.702
550924,2022/2023,686658,WA,WA1723,Abra Base Metals Project,ABRA MINING PTY LIMITED,807,Silver-Lead-Zinc Ore Mining,Cleaner Production Activities,27,Installed overflow alarms or automatic shut-off valves,,All critical containment infrastructure is set up with level sensors,
550924,2022/2023,686658,WA,WA1723,Abra Base Metals Project,ABRA MINING PTY LIMITED,807,Silver-Lead-Zinc Ore Mining,Cleaner Production Activities,31,Implemented inspection or monitoring program for potential spill or leak sources,,Routine inspections of all high-risk areas,0.0274437
550924,2022/2023,686658,WA,WA1723,Abra Base Metals Project,ABRA MINING PTY LIMITED,807,Silver-Lead-Zinc Ore Mining,Cleaner Production Activities,32,Dust suppression - water sprays/chemical suppression,,Water carts and sprays on processing areas,0.000164789
550924,2022/2023,686658,WA,WA1723,Abra Base Metals Project,ABRA MINING PTY LIMITED,807,Silver-Lead-Zinc Ore Mining,Cleaner Production Activities,34,Dust suppression - wind breaks/covered/enclosed stockpiles,,Fully enclosed concentrate shed,0.150845
550924,2022/2023,686658,WA,WA1723,Abra Base Metals Project,ABRA MINING PTY LIMITED,807,Silver-Lead-Zinc Ore Mining,Cleaner Production Activities,35,Community consultative committee,,ECTL Committee with the local traditional owner group,11535.2
551372,2022/2023,491976,NSW,630,Maclean Depot,ACCESS FUELS,3321,Petroleum Product Wholesaling,Pollution Control Devices,11,Wastewater treatment,2004,,0.192042
549868,2022/2023,518928,SA,SA0308,BERRI ESTATES LTD,ACCOLADE WINES AUSTRALIA LIMITED,1214,Wine and Other Alcoholic Beverage Manufacturing,Cleaner Production Activities,24,"Modified process, equipment, layout, or piping",,"-Installation of a decanter and 2 flotation units in late 2017, providing the benefit of improving wine quality and saving on both warming and cooling processes
-Hot water CIP system established mid 2016 for export production area, reducing the volumes of both water and chemicals required for cleaning
",0.0111549
549868,2022/2023,518928,SA,SA0308,BERRI ESTATES LTD,ACCOLADE WINES AUSTRALIA LIMITED,1214,Wine and Other Alcoholic Beverage Manufacturing,Cleaner Production Activities,21,"Improved maintenance scheduling, record keeping, or procedures",,Operate an ISO 14001 EMS including standard operating procedures and record keeping.,0.11662
549868,2022/2023,518928,SA,SA0308,BERRI ESTATES LTD,ACCOLADE WINES AUSTRALIA LIMITED,1214,Wine and Other Alcoholic Beverage Manufacturing,Pollution Control Devices,11,Wastewater treatment,2006,The treatment plant in its current form and location has been operational since approximately 2006,0.0684507
549868,2022/2023,518928,SA,SA0308,BERRI ESTATES LTD,ACCOLADE WINES AUSTRALIA LIMITED,1214,Wine and Other Alcoholic Beverage Manufacturing,Pollution Control Devices,9,Activated carbon filter,2018,Used to treat incoming raw water,0.0522254
549868,2022/2023,518928,SA,SA0308,BERRI ESTATES LTD,ACCOLADE WINES AUSTRALIA LIMITED,1214,Wine and Other Alcoholic Beverage Manufacturing,Cleaner Production Activities,36,Other modifications / practices,,"-Wastewater treatment plant upgrade started March 2019, with scheduled completion by February 2020 - will result in higher quality wastewater
-Electric forklifts used where possible, including production areas to reduce LPG consumption. WWTP also includes a gas flare
-Site tap audits conducted throughout early 2018, on-going transition to ball valve taps to prevent leaks.",0.0356197
549868,2022/2023,518928,SA,SA0308,BERRI ESTATES LTD,ACCOLADE WINES AUSTRALIA LIMITED,1214,Wine and Other Alcoholic Beverage Manufacturing,Cleaner Production Activities,33,Use of cleaner raw materials,,"-New RWTP installed June 2018, supplying potable water to entire site. The better quality water will assist in improving multiple production and cleaning processes
",0.287747
549868,2022/2023,518928,SA,SA0308,BERRI ESTATES LTD,ACCOLADE WINES AUSTRALIA LIMITED,1214,Wine and Other Alcoholic Beverage Manufacturing,Cleaner Production Activities,31,Implemented inspection or monitoring program for potential spill or leak sources,,Operate an ISO 14001 EMS including maintenance and monitoring scheduling,37711.3
551226,2022/2023,522720,TAS,TAS 360,Bay of Fires,ACCOLADE WINES AUSTRALIA LIMITED,1214,Wine and Other Alcoholic Beverage Manufacturing,Cleaner Production Activities,21,"Improved maintenance scheduling, record keeping, or procedures",,Operate an ISO 14001 EMS including maintenance and monitoring scheduling,1014.09
551226,2022/2023,522720,TAS,TAS 360,Bay of Fires,ACCOLADE WINES AUSTRALIA LIMITED,1214,Wine and Other Alcoholic Beverage Manufacturing,Cleaner Production Activities,31,Implemented inspection or monitoring program for potential spill or leak sources,,Operate an ISO 14001 EMS including maintenance and monitoring scheduling,1014.09
550274,2022/2023,516194,SA,SA0114,Hardy's Tintara Winery,ACCOLADE WINES AUSTRALIA LIMITED,1214,Wine and Other Alcoholic Beverage Manufacturing,Cleaner Production Activities,21,"Improved maintenance scheduling, record keeping, or procedures",,Operate an ISO 14001 EMS including maintenance and monitoring scheduling,6.78E-07
550274,2022/2023,516194,SA,SA0114,Hardy's Tintara Winery,ACCOLADE WINES AUSTRALIA LIMITED,1214,Wine and Other Alcoholic Beverage Manufacturing,Cleaner Production Activities,31,Implemented inspection or monitoring program for potential spill or leak sources,,Operate an ISO 14001 EMS including maintenance and monitoring scheduling,0.0874648
546484,2022/2023,500562,QLD,Q015ACE001,Ace Waste Pty Ltd,ACE WASTE PTY LTD,2921,Waste Treatment and Disposal Services,Pollution Control Devices,14,Opacity monitor,1994,,0.00325141
546484,2022/2023,500562,QLD,Q015ACE001,Ace Waste Pty Ltd,ACE WASTE PTY LTD,2921,Waste Treatment and Disposal Services,Pollution Control Devices,13,Mist eliminator,1994,"Mist eliminator packing exit of Fluidised Bed Scrubber, Chevron Mist Eliminator",151.2
